id,name,host_name,host_is_superhost,host_listings_count,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
36443498,Stunning Sunset in Downtown Core,Fatima,f,1,Downtown Toronto,43.64812,-79.39322,Condominium,Entire home/apt,2,1,0,1,Real Bed,165,35,98,10,10,10,10,10,10
36444065,Charming & Beautiful Apartment near Hwy404/Transit,Lisa,f,0,Pleasant View,43.79322,-79.33444,Guest suite,Entire home/apt,2,1,1,2,Real Bed,66,126,,,,,,,
36444274,Two bedroom charmer in Roncy/High Park,Amanda,f,1,Roncesvalles,43.65002,-79.45118,Apartment,Entire home/apt,4,1,2,2,Real Bed,120,5,100,10,10,9,10,10,10
36445875,"3 min to Subway, Downtown Private Refined Living.",Allysiah,f,2,Entertainment District,43.64868,-79.38976,Condominium,Private room,2,1,1,1,Real Bed,110,28,,,,,,,
36445876,Beautiful getaway in Toronto's Upper Beaches (#1),Verona,f,0,Greenwood-Coxwell,43.68076,-79.32347,House,Private room,2,1.5,1,2,Real Bed,49,285,90,10,9,10,10,10,10
36445949,Cozy downtown basement 1-BR w/ private washroom,Ping,f,2,Dufferin Grove,43.6579,-79.43343,House,Entire home/apt,3,1,1,2,Real Bed,110,292,88,9,10,10,10,10,9
36445967,Room for rent august,Emeline,f,1,Long Branch,43.59095,-79.5373,Apartment,Private room,1,1,0,1,Real Bed,51,0,,,,,,,
36446349,Cozy fully furnished apartment.,Maxim,f,2,Riverdale,43.67858,-79.34684,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,39,,,,,,,
36447042,Beautiful Getaway in Toronto's Upper Beaches (# 2),Verona,f,0,Greenwood-Coxwell,43.68105,-79.32296,House,Private room,2,1.5,1,1,Real Bed,40,39,,,,,,,
36447740,A Place to Rest,Eve,f,1,Woodbine Corridor,43.6779,-79.3165,House,Private room,1,1,1,1,Real Bed,109,340,,,,,,,
36448442,2 Bedroom Unit At Thompson Private Residence,Sreeram,f,7,Fashion District,43.64443,-79.40195,Condominium,Entire home/apt,8,1,2,3,Real Bed,170,363,,,,,,,
36448604,"40ft motor yacht minutes from downtown, sleeps 4-6",Lars,f,1,,43.64205,-79.32704,Boat,Entire home/apt,6,1,2,2,Real Bed,150,0,93,9,8,10,10,9,9
36449264,Casa Tavares at Little Portugal,Benito,f,1,Little Portugal,43.64824,-79.43481,House,Entire home/apt,10,2.5,4,4,Real Bed,195,52,100,10,10,10,10,10,10
36449507,Spacious Private Room near 401 with free parking,Gina,f,3,Malvern West,43.79221,-79.24363,House,Private room,2,1.5,1,1,Real Bed,54,15,100,10,10,10,10,10,10
36450461,Gorgeous Victorian style room,Ionut-Daniel,f,2,Mount Dennis,43.69052,-79.4963,House,Private room,1,1,1,1,Real Bed,34,235,,,,,,,
36452254,Huge Two-Room Suite Private Bath near Subway,Nian,f,4,Willowdale,43.78049,-79.40701,House,Private room,4,1,2,2,Real Bed,130,20,60,9,6,9,10,10,9
36453135,Cozy Full Condo near CN Tower with Parking,Yawen,t,1,Downtown Toronto,43.64014,-79.3977,Condominium,Entire home/apt,4,1,1,1,Real Bed,180,28,100,10,10,10,10,10,10
36453166,Private Room in the Heart of Greektown,Ben,f,1,Danforth Village,43.68026,-79.34487,House,Private room,2,1.5,1,1,Real Bed,45,32,100,10,10,10,10,10,10
36453530,Modern family home in Bloor West Village/Junction,Anna,f,1,Runnymede,43.66202,-79.48533,House,Entire home/apt,5,2.5,4,4,Real Bed,289,7,,,,,,,
36454125,"Relaxing, Spacious room in Kensington Market",Izabella,f,1,Kensington Market,43.65427,-79.40197,Apartment,Private room,2,1,1,1,Real Bed,50,16,100,10,10,10,10,10,10
36454590,Fashion District cozy room with private bathroom,Alexis,f,5,Downtown Toronto,43.64976,-79.3963,Apartment,Private room,2,1,1,1,Real Bed,56,1,80,8,7,6,7,9,8
36454807,#2 clean & comfy private bedroom,Liu,f,3,Tam O'Shanter,43.77747,-79.32099,House,Private room,1,1,1,1,Real Bed,34,35,84,10,10,10,10,10,8
36455055,Cozy Bedroom With Best City/Lake View | Parking,Aly,t,3,Harbourfront,43.64112,-79.38181,Condominium,Private room,2,1,1,1,Real Bed,129,71,98,10,10,10,10,10,10
36455079,"Cozy bedroom, free parking, easy commute",Sophia,t,4,Don Mills,43.73773,-79.35016,Bungalow,Private room,2,2,1,1,Real Bed,48,42,,,,,,,
36456049,Luxury 1 BR Corner Suite ❤️ of Downtown | Balcony | CN Tower view | Fast WiFi | VIP Cable | Custom,Maria,f,3,Entertainment District,43.64281,-79.39182,Condominium,Entire home/apt,2,1,1,2,Real Bed,200,225,,,,,,,
36456050,Live Cozy # Warden & McNicoll,Len,f,1,L'Amoreaux,43.80852,-79.32029,House,Private room,3,1,1,2,Real Bed,54,8,100,10,10,10,10,10,10
36456363,Luxurious contemporary penthouse mature lifestyle,Sabeen,f,2,Downtown Toronto,43.64733,-79.39821,Condominium,Entire home/apt,3,2.5,2,1,Real Bed,800,94,,,,,,,
36456448,Cozy one bedroom Apt103 G,Ganna,f,2,Parkview,43.71021,-79.31062,Apartment,Entire home/apt,4,1,1,1,Real Bed,69,225,100,10,10,10,10,10,10
36456745,Prívate 1 Bedroom in Kensington Market - Location!,Luis Yordanis,f,1,Downtown Toronto,43.65343,-79.40189,Apartment,Entire home/apt,2,1,1,1,Real Bed,169,350,100,10,10,10,10,10,10
36457161,7 min walks to North York Center subway/39-1A new,Rj,f,5,Willowdale,43.7733,-79.41056,House,Private room,2,1.5,1,1,Real Bed,38,66,,,,,,,
36458044,Super Luxury Condo in the Entertainment District,April,f,1,Downtown Toronto,43.64819,-79.38933,Condominium,Entire home/apt,7,2,2,3,Real Bed,450,173,87,9,9,10,8,10,9
36464256,Private room with private access to bathroom,Azar,f,1,Entertainment District,43.64265,-79.38238,Condominium,Private room,2,1,1,1,Real Bed,76,150,93,9,9,9,9,10,9
36470411,Raptor Apartment ! 100% Privacy  Separate Entrance,Gina,f,3,Pleasant View,43.80078,-79.33851,House,Entire home/apt,4,1,2,2,Real Bed,100,90,96,10,10,10,10,9,10
36471688,046 nice cool room around York University Subway,Runying,f,74,York University Heights,43.76771,-79.50311,House,Private room,1,1,1,1,Real Bed,42,365,,,,,,,
36471963,Bay Front 1 Bed Condo,Jason,f,2,Mimico,43.62348,-79.48344,Condominium,Entire home/apt,3,1,1,1,Real Bed,135,242,,,,,,,
36473841,Private Urban Oasis with Deck - close to Lake!,Imaan,f,1,Mimico,43.62268,-79.48725,Guest suite,Entire home/apt,2,1,0,1,Real Bed,54,96,90,10,10,10,10,10,10
36474550,Condo bedroom for short rent,Jimmy,f,1,Downtown Toronto,43.66121,-79.37793,Condominium,Private room,1,1,1,1,Real Bed,55,0,,,,,,,
36475150,Bach Basement Apart w/ Sep Entrance in heart of TO,Mike,f,1,Downsview,43.73845,-79.50658,Guest suite,Entire home/apt,2,1,0,1,Real Bed,80,284,100,10,10,9,10,10,10
36476484,Simply Comfort. Unique Downtown Loft 1300 sq.feet,SimplyComfort,f,109,Downtown Toronto,43.65702,-79.36307,Condominium,Entire home/apt,5,1,1,2,Real Bed,299,313,100,10,10,10,10,10,10
36477692,"NO CLEANING FEE! Prkg, WiFi, females & couples!",Mj,f,1,Long Branch,43.59017,-79.53178,Apartment,Private room,2,1,1,1,Real Bed,51,0,100,10,10,10,10,10,10
36478288,Apartment Close to Subway & Downtown Toronto,Adrienne,f,1,Woodbine Corridor,43.68633,-79.31912,Apartment,Entire home/apt,2,1,1,1,Real Bed,88,185,100,10,10,10,10,9,10
36479548,"House for rent Yonge/401,  3-5 min walk to subway",Tami,f,1,Armour Heights,43.75678,-79.4141,House,Entire home/apt,5,1,3,6,Real Bed,299,1,,,,,,,
36480421,Entire home - 6 Bed 2 Large Bath w/wifi & parking,Gene And Amy,f,9,Pleasant View,43.77864,-79.32556,Bungalow,Entire home/apt,11,2,6,7,Real Bed,310,353,,,,,,,
36480934,demi-Bachelor,Private Living Spaces,f,4,Trinity-Bellwoods,43.649,-79.40817,House,Private room,1,1.5,1,1,Real Bed,49,1,,,,,,,
36481007,Brand New 2 Bedroom Basement Apt. Midtown Toronto,Eytan,f,1,Fairbank,43.68981,-79.43992,Apartment,Entire home/apt,3,1,2,2,Real Bed,80,125,98,10,10,10,10,10,9
